record,symbol,expert_sample,expert_time_s,original_candidate,original_refined,original_initial_error_ms,original_refined_error_ms,original_support,original_detected,inverted_candidate,inverted_refined,inverted_initial_error_ms,inverted_refined_error_ms,inverted_support,inverted_detected
108,N,339290,942.4722222222222,339292,339290,5.555555555555555,0.0,True,True,339292,339304,5.555555555555555,38.888888888888886,True,True
108,A,528246,1467.35,528251,528249,13.88888888888889,8.333333333333334,True,True,528251,528259,13.88888888888889,36.111111111111114,True,True
108,V,268697,746.3805555555556,268700,268699,8.333333333333334,5.555555555555555,True,True,268700,268682,8.333333333333334,-41.666666666666664,False,True
108,F,180621,501.725,180619,180609,-5.555555555555555,-33.333333333333336,True,True,180619,180621,-5.555555555555555,0.0,True,True
108,j,435657,1210.1583333333333,435662,435658,13.88888888888889,2.7777777777777777,True,True,435662,435670,13.88888888888889,36.111111111111114,True,True
113,N,331431,920.6416666666667,331433,331431,5.555555555555555,0.0,True,True,331433,331437,5.555555555555555,16.666666666666668,True,True
113,a,146714,407.5388888888889,146716,146714,5.555555555555555,0.0,True,True,146716,146727,5.555555555555555,36.111111111111114,True,True
207,L,299414,831.7055555555555,299416,299433,5.555555555555555,52.77777777777778,False,True,299416,299412,5.555555555555555,-5.555555555555555,True,True
207,R,57666,160.18333333333334,57669,57667,8.333333333333334,2.7777777777777777,True,True,57669,57681,8.333333333333334,41.666666666666664,True,True
207,V,55775,154.93055555555554,55786,55803,30.555555555555557,77.77777777777777,False,False,55786,55772,30.555555555555557,-8.333333333333334,True,True
207,E,610908,1696.9666666666667,610908,610907,0.0,-2.7777777777777777,True,True,610908,610925,0.0,47.22222222222222,False,True
207,A,640120,1778.111111111111,640124,640141,11.11111111111111,58.333333333333336,False,True,640124,640119,11.11111111111111,-2.7777777777777777,True,True
222,N,331177,919.9361111111111,331178,331177,2.7777777777777777,0.0,True,True,331178,331183,2.7777777777777777,16.666666666666668,True,True
222,A,426057,1183.4916666666666,426057,426058,0.0,2.7777777777777777,True,True,426057,426051,0.0,-16.666666666666668,True,True
222,J,311699,865.8305555555555,311699,311699,0.0,0.0,True,True,311699,311692,0.0,-19.444444444444443,True,True
222,j,430850,1196.8055555555557,430849,430849,-2.7777777777777777,-2.7777777777777777,True,True,430849,430842,-2.7777777777777777,-22.22222222222222,True,True
231,N,321884,894.1222222222223,321883,321884,-2.7777777777777777,0.0,True,True,321883,321875,-2.7777777777777777,-25.0,True,True
231,R,380990,1058.3055555555557,380995,380990,13.88888888888889,0.0,True,True,380995,381007,13.88888888888889,47.22222222222222,True,True
231,A,52598,146.10555555555555,52602,52598,11.11111111111111,0.0,True,True,52602,52614,11.11111111111111,44.44444444444444,True,True
231,V,53239,147.88611111111112,53243,53239,11.11111111111111,0.0,True,True,53243,53225,11.11111111111111,-38.888888888888886,False,True
