experiment_id,target_id,target_column,model_id,model_label,combination_id,branches,branch_count,feature_count,oof_folds,rows,groups,records,complete_case_rows,balanced_accuracy_group_bootstrap_ci_low,balanced_accuracy_group_bootstrap_ci_high,class_0,class_1,prevalence,accuracy,balanced_accuracy,f1,precision,npv,recall_sensitivity,specificity,false_positive_rate,false_negative_rate,mcc,tn,fp,fn,tp,errors,roc_auc,average_precision,group_macro_accuracy,group_macro_sensitivity,group_macro_specificity,group_macro_balanced_accuracy,groups_with_positive_cases,groups_with_negative_cases,rank_within_target
abnormal_beat__B1+B2+B3__hist_gradient_boosting,abnormal_beat,target_abnormal_beat_binary,hist_gradient_boosting,Histogram gradient boosting,B1+B2+B3,B1+B2+B3,3,44,5,15651,48,72,5047,0.7231836249737922,0.8703426638729354,12499,3152,0.20139288224394608,0.8612868187336272,0.8005767491856202,0.6699102934468603,0.6432116788321168,0.9223785375429413,0.6989213197969543,0.902232178574286,0.09776782142571405,0.3010786802030457,0.5831007950761282,11277,1222,949,2203,2171,0.9013395944772029,0.757509901546008,0.8332765598682469,0.7128690452362478,0.8866130589223689,0.7997410520793083,42,46,1
abnormal_beat__B1+B3__hist_gradient_boosting,abnormal_beat,target_abnormal_beat_binary,hist_gradient_boosting,Histogram gradient boosting,B1+B3,B1+B3,2,28,5,15651,48,72,5047,0.7000910356606506,0.863514125514544,12499,3152,0.20139288224394608,0.847996933103316,0.7864433977053189,0.6442350829968596,0.6093352192362094,0.9176295807197095,0.6833756345177665,0.8895111608928714,0.11048883910712858,0.3166243654822335,0.549446244450678,11118,1381,998,2154,2379,0.8620189742082919,0.6750904438303551,0.8373021515725915,0.7253273710998216,0.8735376531577544,0.799432512128788,42,46,2
abnormal_beat__B2+B3+B4__hist_gradient_boosting,abnormal_beat,target_abnormal_beat_binary,hist_gradient_boosting,Histogram gradient boosting,B2+B3+B4,B2+B3+B4,3,37,5,15651,48,72,8408,0.7358634588706078,0.8634073798117032,12499,3152,0.20139288224394608,0.872212638170085,0.8070614177052946,0.6875,0.6773399014778325,0.9232443763605579,0.6979695431472082,0.916153292263381,0.08384670773661893,0.3020304568527919,0.6073158318446288,11451,1048,952,2200,2000,0.8960817373004054,0.7799675582979411,0.8426144960973835,0.6993319495768601,0.8949696378503901,0.7971507937136251,42,46,3
abnormal_beat__B1+B2+B3+B4__logistic_regression,abnormal_beat,target_abnormal_beat_binary,logistic_regression,Regularized logistic regression,B1+B2+B3+B4,B1+B2+B3+B4,4,52,5,15651,48,72,5042,0.7184201538688835,0.8712733372832792,12499,3152,0.20139288224394608,0.8454411858667178,0.8001460548315946,0.6536864710093057,0.5956170101747978,0.9264680995092233,0.7243020304568528,0.8759900792063365,0.12400992079366349,0.2756979695431472,0.559824590310178,10949,1550,869,2283,2419,0.8387947177906212,0.6120156277714388,0.8306505648824626,0.7694402466425443,0.819160411596158,0.7943003291193511,42,46,4
abnormal_beat__B1+B2+B3__extra_trees,abnormal_beat,target_abnormal_beat_binary,extra_trees,Extremely randomized trees,B1+B2+B3,B1+B2+B3,3,44,5,15651,48,72,5047,0.7097189025633556,0.8584152397157565,12499,3152,0.20139288224394608,0.8832662449683726,0.7896635918690754,0.6859205776173285,0.7485928705440901,0.9109040505159403,0.6329314720812182,0.9463957116569326,0.05360428834306744,0.36706852791878175,0.6181136578022597,11829,670,1157,1995,1827,0.8945834194654355,0.7634680828596228,0.8747740845231778,0.6497124426526573,0.9385401584855356,0.7941263005690964,42,46,5
abnormal_beat__B1+B2+B3+B4__linear_svm,abnormal_beat,target_abnormal_beat_binary,linear_svm,Linear support-vector machine,B1+B2+B3+B4,B1+B2+B3+B4,4,52,5,15651,48,72,5042,0.7176215046779688,0.8667527115467555,12499,3152,0.20139288224394608,0.8475496773369113,0.8015847866814116,0.6568881219442048,0.6007364544976328,0.926744872985062,0.7246192893401016,0.8785502840227218,0.12144971597727819,0.2753807106598985,0.5640573439417245,10981,1518,868,2284,2386,0.8388421327513308,0.6175544307130799,0.8332137074707088,0.7622646577373667,0.8219513183493096,0.7921079880433382,42,46,6
abnormal_beat__B2+B3__extra_trees,abnormal_beat,target_abnormal_beat_binary,extra_trees,Extremely randomized trees,B2+B3,B2+B3,2,29,5,15651,48,72,8413,0.7063458367102879,0.8619297808477564,12499,3152,0.20139288224394608,0.8750239601303431,0.7839100478292071,0.6704851752021563,0.7147988505747126,0.9096914587704982,0.6313451776649747,0.9364749179934395,0.06352508200656053,0.3686548223350254,0.5954814415161486,11705,794,1162,1990,1956,0.8880648776775237,0.7412759532425444,0.8625921158895652,0.660370853174937,0.9214775824228808,0.7909242177989089,42,46,7
abnormal_beat__B1+B3+B4__hist_gradient_boosting,abnormal_beat,target_abnormal_beat_binary,hist_gradient_boosting,Histogram gradient boosting,B1+B3+B4,B1+B3+B4,3,36,5,15651,48,72,5042,0.695559872977645,0.8586563912944446,12499,3152,0.20139288224394608,0.840521372436266,0.7823561544822063,0.6336953331376578,0.5895685417804478,0.9171740762365501,0.6849619289340102,0.8797503800304024,0.12024961996959757,0.31503807106598986,0.5349427949519933,10996,1503,993,2159,2496,0.8613982519616797,0.6700734839005194,0.8287453767581857,0.7172110951838596,0.860678572166741,0.7889448336753003,42,46,8
abnormal_beat__B1+B3+B4__logistic_regression,abnormal_beat,target_abnormal_beat_binary,logistic_regression,Regularized logistic regression,B1+B3+B4,B1+B3+B4,3,36,5,15651,48,72,5042,0.7043874284627524,0.8662970273843875,12499,3152,0.20139288224394608,0.8341320043447703,0.7947262557654359,0.63894297635605,0.5688459633481922,0.9263756135365538,0.728743654822335,0.8607088567085367,0.1392911432914633,0.27125634517766495,0.5402865927070486,10758,1741,855,2297,2596,0.8379244705058638,0.6136110621361334,0.8183273517063162,0.7698466821583377,0.8060628150262851,0.7879547485923114,42,46,9
abnormal_beat__B1+B2+B3+B4__hist_gradient_boosting,abnormal_beat,target_abnormal_beat_binary,hist_gradient_boosting,Histogram gradient boosting,B1+B2+B3+B4,B1+B2+B3+B4,4,52,5,15651,48,72,5042,0.7281161676931465,0.8724871088226662,12499,3152,0.20139288224394608,0.8659510574404191,0.8068185175626232,0.6801829268292683,0.6546361502347418,0.9247733398676795,0.7078045685279187,0.9058324665973277,0.09416753340267221,0.2921954314720812,0.596277721896333,11322,1177,921,2231,2098,0.9077767845793145,0.7830407576489394,0.8364700002430562,0.7112848111249487,0.864410986553482,0.7878478988392154,42,46,10
abnormal_beat__B1+B3+B4__extra_trees,abnormal_beat,target_abnormal_beat_binary,extra_trees,Extremely randomized trees,B1+B3+B4,B1+B3+B4,3,36,5,15651,48,72,5042,0.6864661050152739,0.8521266319254145,12499,3152,0.20139288224394608,0.8713820203181906,0.7764103107944067,0.6591024555461473,0.7068652379222666,0.906497131338192,0.6173857868020305,0.9354348347867829,0.06456516521321706,0.38261421319796957,0.5823052174193135,11692,807,1206,1946,2013,0.8830123161121924,0.7465197931311603,0.8613773906412806,0.6476865733857412,0.9259860641527015,0.7868363187692213,42,46,11
abnormal_beat__B1+B3__logistic_regression,abnormal_beat,target_abnormal_beat_binary,logistic_regression,Regularized logistic regression,B1+B3,B1+B3,2,28,5,15651,48,72,5047,0.6924668316539568,0.8624026872111962,12499,3152,0.20139288224394608,0.8213532681617788,0.785064848335075,0.6202118989405053,0.5422802850356294,0.924045100952714,0.7243020304568528,0.8458276662132971,0.15417233378670295,0.2756979695431472,0.5156219068882981,10572,1927,869,2283,2796,0.8327997965725582,0.607382711784408,0.8022554228897251,0.778582521657852,0.7938662439291887,0.7862243827935204,42,46,12
abnormal_beat__B1+B2+B3+B4__extra_trees,abnormal_beat,target_abnormal_beat_binary,extra_trees,Extremely randomized trees,B1+B2+B3+B4,B1+B2+B3+B4,4,52,5,15651,48,72,5042,0.7081766848565251,0.8661627156516061,12499,3152,0.20139288224394608,0.8920196792537218,0.7919411217872049,0.6996089584073942,0.7954729183508489,0.9101464673294376,0.6243654822335025,0.9595167613409072,0.04048323865909273,0.3756345177664975,0.6418711942598784,11993,506,1184,1968,1690,0.8997013542809313,0.7755636746818174,0.8791160518592799,0.6236971372837546,0.9478996108287552,0.7857983740562549,42,46,13
abnormal_beat__B1+B3__extra_trees,abnormal_beat,target_abnormal_beat_binary,extra_trees,Extremely randomized trees,B1+B3,B1+B3,2,28,5,15651,48,72,5047,0.6903519201232032,0.8435485524410548,12499,3152,0.20139288224394608,0.8592422209443487,0.7742665098487067,0.6439308226927428,0.656342668863262,0.9080532656943564,0.631979695431472,0.9165533242659413,0.08344667573405873,0.3680203045685279,0.5564079495189065,11456,1043,1160,1992,2203,0.8785333283515474,0.7300375050579365,0.8518495745768652,0.6589702348121437,0.9093720789074183,0.784171156859781,42,46,14
abnormal_beat__B1+B2+B3__random_forest,abnormal_beat,target_abnormal_beat_binary,random_forest,Random forest,B1+B2+B3,B1+B2+B3,3,44,5,15651,48,72,5047,0.6883891408591941,0.8463253681572546,12499,3152,0.20139288224394608,0.8748961727685132,0.7703066499127037,0.657092819614711,0.7333854573885848,0.9025433437714809,0.5951776649746193,0.9454356348507881,0.05456436514921194,0.40482233502538073,0.5863374179166451,11817,682,1276,1876,1958,0.8944727760961994,0.738475379267365,0.8486644324781182,0.6285213410325131,0.9380498571601796,0.7832855990963463,42,46,15
abnormal_beat__B1+B3+B4__linear_svm,abnormal_beat,target_abnormal_beat_binary,linear_svm,Linear support-vector machine,B1+B3+B4,B1+B3+B4,3,36,5,15651,48,72,5042,0.7128809231826476,0.8673054103684553,12499,3152,0.20139288224394608,0.8363043894958788,0.7960863645741405,0.6419787590832867,0.5736763236763237,0.9265905383360522,0.728743654822335,0.8634290743259461,0.13657092567405393,0.27125634517766495,0.5442833756236866,10792,1707,855,2297,2562,0.8395449300918694,0.6233909685340755,0.8192486830750892,0.7589471301065115,0.8066496532754605,0.782798391690986,42,46,16
abnormal_beat__B2+B3+B4__extra_trees,abnormal_beat,target_abnormal_beat_binary,extra_trees,Extremely randomized trees,B2+B3+B4,B2+B3+B4,3,37,5,15651,48,72,8408,0.6975004954274625,0.8559221361826758,12499,3152,0.20139288224394608,0.8824995207973931,0.7812355952943241,0.6770851624231782,0.7581596539520251,0.9066219102837961,0.6116751269035533,0.9507960636850948,0.049203936314905196,0.3883248730964467,0.6114903743454235,11884,615,1224,1928,1839,0.8785985112311523,0.7433920599241624,0.8711202213232804,0.6495373770787299,0.9130270535012907,0.7812822152900103,42,46,17
abnormal_beat__B1+B2+B3__logistic_regression,abnormal_beat,target_abnormal_beat_binary,logistic_regression,Regularized logistic regression,B1+B2+B3,B1+B2+B3,3,44,5,15651,48,72,5047,0.712981217881565,0.8665392075688557,12499,3152,0.20139288224394608,0.8334291738547057,0.7961842404245132,0.6395686437163003,0.5667728497917177,0.9274848746758859,0.7338197969543148,0.8585486838947116,0.1414513161052884,0.2661802030456853,0.5410939820315608,10731,1768,839,2313,2607,0.8330783975408389,0.6111548911710937,0.8157677249000462,0.7583037343006234,0.803270800075421,0.7807872671880222,42,46,18
abnormal_beat__B2+B3__linear_svm,abnormal_beat,target_abnormal_beat_binary,linear_svm,Linear support-vector machine,B2+B3,B2+B3,2,29,5,15651,48,72,8413,0.7417493695893473,0.8695855423365728,12499,3152,0.20139288224394608,0.8445466743339084,0.8072967157169528,0.6587179127507364,0.5903947699270807,0.9311290046256638,0.7449238578680203,0.8696695735658853,0.13033042643411472,0.2550761421319797,0.5661493497097155,10870,1629,804,2348,2433,0.857647342751887,0.6603048402383626,0.8289637098825029,0.7461945071050156,0.8149489280182418,0.7805717175616287,42,46,19
abnormal_beat__B1+B3__linear_svm,abnormal_beat,target_abnormal_beat_binary,linear_svm,Linear support-vector machine,B1+B3,B1+B3,2,28,5,15651,48,72,5047,0.6924560264553504,0.8608829685308785,12499,3152,0.20139288224394608,0.8239090153983771,0.7847669564834222,0.6219478737997256,0.5478492025132915,0.9231303743594198,0.7192258883248731,0.8503080246419713,0.14969197535802864,0.2807741116751269,0.5179177940018898,10628,1871,885,2267,2756,0.8316077468938632,0.6129408664079239,0.8038738554375654,0.7608927626657676,0.796833482134045,0.7788631223999063,42,46,20
abnormal_beat__B2+B3__logistic_regression,abnormal_beat,target_abnormal_beat_binary,logistic_regression,Regularized logistic regression,B2+B3,B2+B3,2,29,5,15651,48,72,8413,0.7407228270123122,0.8666964157187885,12499,3152,0.20139288224394608,0.8398824356271165,0.8076980168565769,0.6547258197850647,0.5786653677545056,0.932784755305327,0.7538071065989848,0.8615889271141691,0.13841107288583088,0.24619289340101522,0.5610208348832737,10769,1730,776,2376,2506,0.8603362888320406,0.6527710672167922,0.8227835970350474,0.7515156973923646,0.8059676948572811,0.7787416961248228,42,46,21
abnormal_beat__B1+B2+B3+B4__random_forest,abnormal_beat,target_abnormal_beat_binary,random_forest,Random forest,B1+B2+B3+B4,B1+B2+B3+B4,4,52,5,15651,48,72,5042,0.6846853705991264,0.8431664098993997,12499,3152,0.20139288224394608,0.8787936873043256,0.7706115727836906,0.6620345626224835,0.7549776513612353,0.9018953752843063,0.5894670050761421,0.9517561404912392,0.0482438595087607,0.41053299492385786,0.5962506903303898,11896,603,1294,1858,1897,0.8972806276278751,0.7559980815738379,0.8534491895186457,0.6118517974462405,0.9430909285063354,0.7774713629762879,42,46,22
abnormal_beat__B1+B2__hist_gradient_boosting,abnormal_beat,target_abnormal_beat_binary,hist_gradient_boosting,Histogram gradient boosting,B1+B2,B1+B2,2,31,5,15651,48,72,7492,0.6713476334109225,0.8322710995616238,12499,3152,0.20139288224394608,0.825506357421251,0.7486370229415307,0.5886428679017924,0.5603670777172355,0.9015126603091088,0.6199238578680203,0.8773501880150412,0.12264981198495879,0.3800761421319797,0.47925025408419847,10966,1533,1198,1954,2731,0.8755434952562703,0.69750625646302,0.7961618585632898,0.6767284497842275,0.8763840693944757,0.7765562595893516,42,46,23
abnormal_beat__B2+B3+B4__logistic_regression,abnormal_beat,target_abnormal_beat_binary,logistic_regression,Regularized logistic regression,B2+B3+B4,B2+B3+B4,3,37,5,15651,48,72,8408,0.7331589957375421,0.8596832436187518,12499,3152,0.20139288224394608,0.8445466743339084,0.7997046362693787,0.6524782173975147,0.5934008833463237,0.9264531435349941,0.7246192893401016,0.8747899831986559,0.1252100168013441,0.2753807106598985,0.5582161983311433,10934,1565,868,2284,2433,0.8524134468828573,0.6447716287497794,0.8314158774413999,0.7319359031390918,0.8197499512270625,0.7758429271830771,42,46,24
abnormal_beat__B2+B3__hist_gradient_boosting,abnormal_beat,target_abnormal_beat_binary,hist_gradient_boosting,Histogram gradient boosting,B2+B3,B2+B3,2,29,5,15651,48,72,8413,0.7319527689312926,0.8667678507990185,12499,3152,0.20139288224394608,0.8663983132068238,0.8041328839302068,0.6784560971859142,0.6583109519546404,0.923089430894309,0.6998730964467005,0.908392671413713,0.09160732858628691,0.3001269035532995,0.5946813855401517,11354,1145,946,2206,2091,0.8981362925277676,0.7618183243637072,0.8330201979558646,0.688423980334596,0.8631714863914403,0.7757977333630182,42,46,25
abnormal_beat__B2+B3+B4__random_forest,abnormal_beat,target_abnormal_beat_binary,random_forest,Random forest,B2+B3+B4,B2+B3+B4,3,37,5,15651,48,72,8408,0.7020416802682664,0.852026904894095,12499,3152,0.20139288224394608,0.8948948948948949,0.7823531466273648,0.694748561885322,0.8368350469378633,0.9045773072908901,0.5939086294416244,0.9707976638131051,0.029202336186894953,0.40609137055837563,0.6470550380993735,12134,365,1280,1872,1645,0.8891151901289158,0.7758081091389851,0.8743371912767884,0.5866608599538374,0.9643072625584496,0.7754840612561436,42,46,26
abnormal_beat__B1+B2+B3__linear_svm,abnormal_beat,target_abnormal_beat_binary,linear_svm,Linear support-vector machine,B1+B2+B3,B1+B2+B3,3,44,5,15651,48,72,5047,0.7130907814177383,0.8709463094117924,12499,3152,0.20139288224394608,0.8382211999233276,0.7979982180300312,0.6452787895769123,0.5777722027094832,0.9272181740248607,0.7306472081218274,0.8653492279382351,0.13465077206176493,0.26935279187817257,0.5486095740855215,10816,1683,849,2303,2532,0.832555487687746,0.6148593748283978,0.8220600509454589,0.7373229824714743,0.8108481838411442,0.7740855831563093,42,46,27
abnormal_beat__B3__extra_trees,abnormal_beat,target_abnormal_beat_binary,extra_trees,Extremely randomized trees,B3,B3,1,13,5,15651,48,72,8960,0.6879763887368977,0.8378060240229829,12499,3152,0.20139288224394608,0.8288288288288288,0.769341509249674,0.6117953919721779,0.5630834889303814,0.912535708284322,0.6697335025380711,0.8689495159612769,0.1310504840387231,0.33026649746192893,0.5061699169368455,10861,1638,1041,2111,2679,0.8647338614500328,0.6832593109749696,0.8258970558757642,0.6925536111345526,0.8546153087950588,0.7735844599648056,42,46,28
abnormal_beat__B1+B2__extra_trees,abnormal_beat,target_abnormal_beat_binary,extra_trees,Extremely randomized trees,B1+B2,B1+B2,2,31,5,15651,48,72,7492,0.6762932524600677,0.8269020314791388,12499,3152,0.20139288224394608,0.8643537154175452,0.7545719012850978,0.6289110295402902,0.7002724795640327,0.8965754471793304,0.570748730964467,0.9383950716057284,0.06160492839427154,0.429251269035533,0.5512544085794265,11729,770,1353,1799,2123,0.8818738494003378,0.7068797592678775,0.8405119381117725,0.6121260113873755,0.9341512603791852,0.7731386358832804,42,46,29
abnormal_beat__B3__hist_gradient_boosting,abnormal_beat,target_abnormal_beat_binary,hist_gradient_boosting,Histogram gradient boosting,B3,B3,1,13,5,15651,48,72,8960,0.6927099248560229,0.8385268265556451,12499,3152,0.20139288224394608,0.8123442591527698,0.7679176516862466,0.5981666438637296,0.5258599951888381,0.9159561510353228,0.6935279187817259,0.8423073845907673,0.15769261540923274,0.30647208121827413,0.48656005667018026,10528,1971,966,2186,2937,0.862708940573114,0.704914879396301,0.8073921546653112,0.7450217822794146,0.80042895538096,0.7727253688301874,42,46,30
abnormal_beat__B2+B3__random_forest,abnormal_beat,target_abnormal_beat_binary,random_forest,Random forest,B2+B3,B2+B3,2,29,5,15651,48,72,8413,0.6764568812722326,0.8429391325249125,12499,3152,0.20139288224394608,0.8846719059485016,0.7700213225179842,0.6687465590016517,0.7932085328689595,0.9004043732215067,0.5780456852791879,0.9619969597567806,0.03800304024321946,0.4219543147208122,0.6120298591050767,12024,475,1330,1822,1805,0.8861290882966069,0.7490764694528438,0.8578021669571824,0.5888277148646149,0.9528147628730396,0.7708212388688273,42,46,31
