target_id,fold,train_rows,test_rows,train_groups,test_groups,group_overlap,train_class_0,train_class_1,test_class_0,test_class_1,test_group_ids_json
artifact,0,9076,2241,14,3,0,4100,4976,955,1286,"[""butqdb:104"", ""butqdb:123"", ""mitdb:119""]"
artifact,1,8936,2381,14,3,0,4072,4864,983,1398,"[""butqdb:118"", ""butqdb:122"", ""mitdb:118""]"
artifact,2,8854,2463,13,4,0,3626,5228,1429,1034,"[""butqdb:103"", ""butqdb:105"", ""butqdb:113"", ""butqdb:126""]"
artifact,3,9216,2101,14,3,0,4296,4920,759,1342,"[""butqdb:100"", ""butqdb:111"", ""butqdb:121""]"
artifact,4,9186,2131,13,4,0,4126,5060,929,1202,"[""butqdb:114"", ""butqdb:115"", ""butqdb:124"", ""butqdb:125""]"
seizure,0,5166,6180,2,1,0,4510,656,5680,500,"[""siena:PN06""]"
seizure,1,8156,3190,2,1,0,7388,768,2802,388,"[""siena:PN12""]"
seizure,2,9370,1976,2,1,0,8482,888,1708,268,"[""chb_mit:chb04""]"
abnormal_beat,0,12499,3152,41,7,0,9984,2515,2515,637,"[""mitdb:113"", ""mitdb:118"", ""mitdb:209"", ""mitdb:217"", ""mitdb:219"", ""mitdb:220"", ""mitdb:233""]"
abnormal_beat,1,12426,3225,38,10,0,9936,2490,2563,662,"[""mitdb:106"", ""mitdb:111"", ""mitdb:119"", ""mitdb:122"", ""mitdb:123"", ""mitdb:201"", ""mitdb:203"", ""mitdb:207"", ""mitdb:210"", ""mitdb:214""]"
abnormal_beat,2,12627,3024,38,10,0,10032,2595,2467,557,"[""mitdb:105"", ""mitdb:107"", ""mitdb:108"", ""mitdb:112"", ""mitdb:124"", ""mitdb:221"", ""mitdb:223"", ""mitdb:228"", ""mitdb:230"", ""mitdb:231""]"
abnormal_beat,3,12548,3103,38,10,0,10014,2534,2485,618,"[""mitdb:100"", ""mitdb:102"", ""mitdb:121"", ""mitdb:200"", ""mitdb:202"", ""mitdb:205"", ""mitdb:213"", ""mitdb:215"", ""mitdb:222"", ""mitdb:234""]"
abnormal_beat,4,12504,3147,37,11,0,10030,2474,2469,678,"[""mitdb:101"", ""mitdb:103"", ""mitdb:104"", ""mitdb:109"", ""mitdb:114"", ""mitdb:115"", ""mitdb:116"", ""mitdb:117"", ""mitdb:208"", ""mitdb:212"", ""mitdb:232""]"
noise_active,0,1473,1374,1,1,0,456,1017,378,996,"[""mitdb:119""]"
noise_active,1,1374,1473,1,1,0,378,996,456,1017,"[""mitdb:118""]"
signal_unusable,0,3873,1004,12,3,0,3323,550,898,106,"[""butqdb:103"", ""butqdb:113"", ""butqdb:124""]"
signal_unusable,1,3892,985,12,3,0,3330,562,891,94,"[""butqdb:105"", ""butqdb:122"", ""butqdb:126""]"
signal_unusable,2,3984,893,12,3,0,3402,582,819,74,"[""butqdb:104"", ""butqdb:114"", ""butqdb:125""]"
signal_unusable,3,3865,1012,11,4,0,3393,472,828,184,"[""butqdb:111"", ""butqdb:115"", ""butqdb:118"", ""butqdb:121""]"
signal_unusable,4,3894,983,13,2,0,3436,458,785,198,"[""butqdb:100"", ""butqdb:123""]"
